database_code,domain_name,database_group,language_code,language_name,editability,status,visibility,english_name
dewikisource,de.wikisource.org,wikisource,de,German,public,open,public,German Wikisource
dewikiversity,de.wikiversity.org,wikiversity,de,German,public,open,public,German Wikiversity
dewikivoyage,de.wikivoyage.org,wikivoyage,de,German,public,open,public,German Wikivoyage
dewiktionary,de.wiktionary.org,wiktionary,de,German,public,open,public,German Wiktionary
dinwiki,din.wikipedia.org,wikipedia,din,Dinka,public,open,public,Dinka Wikipedia
diqwiki,diq.wikipedia.org,wikipedia,diq,Zazaki,public,open,public,Zazaki Wikipedia
dkwikimedia,dk.wikimedia.org,dkwikimedia,en,English,public,open,public,Wikimedia Denmark
donatewiki,donate.wikimedia.org,donate,en,English,private,open,public,Donate
dsbwiki,dsb.wikipedia.org,wikipedia,dsb,Lower Sorbian,public,open,public,Lower Sorbian Wikipedia
dvwiki,dv.wikipedia.org,wikipedia,dv,Divehi,public,open,public,Divehi Wikipedia
dvwiktionary,dv.wiktionary.org,wiktionary,dv,Divehi,public,open,public,Divehi Wiktionary
dzwiki,dz.wikipedia.org,wikipedia,dz,Dzongkha,public,open,public,Dzongkha Wikipedia
dzwiktionary,dz.wiktionary.org,wiktionary,dz,Dzongkha,public,closed,public,Dzongkha Wiktionary
ecwikimedia,ec.wikimedia.org,ecwikimedia,en,English,private,open,private,Wikimedistas de Ecuador
eewiki,ee.wikipedia.org,wikipedia,ee,Ewe,public,open,public,Ewe Wikipedia
elwiki,el.wikipedia.org,wikipedia,el,Greek,public,open,public,Greek Wikipedia
elwikibooks,el.wikibooks.org,wikibooks,el,Greek,public,open,public,Greek Wikibooks
elwikinews,el.wikinews.org,wikinews,el,Greek,public,open,public,Greek Wikinews
elwikiquote,el.wikiquote.org,wikiquote,el,Greek,public,open,public,Greek Wikiquote
elwikisource,el.wikisource.org,wikisource,el,Greek,public,open,public,Greek Wikisource
elwikiversity,el.wikiversity.org,wikiversity,el,Greek,public,open,public,Greek Wikiversity
